wp  , wf   , P   , n1 , Pnd, Np1, Helix, Np2, Pnd2, Helix2, sigma_bend_stage1 , percent_diff_bend_stage1, sigma_contact_stage1, percent_diff_contact_stage1, sigma_bend_stage2 , percent_diff_bend_stage2, sigma_contact_stage2, percent_diff_contact_stage2, combined_metric
1540, 228.3,  6.4, 3.3,  10,  18,    25,  42,   10,     25, 16.132803371135672,        78.18117237264812,   124.4068324590244 ,          3.81248949116032  , 31.108978636621416,      16.86941047315159  ,   128.85816463639526,          0.2974313202360555,  99.16050365719607
1550, 229.2,  6.5, 3.3,  10,  18,    25,  42,   10,     25, 16.035774399910103,        78.69164205626153,   124.04347263259838,          4.104876062072696 , 31.10581365142139 ,      16.879512426561423 ,   128.7009938198619 ,          0.4194773210362152, 100.09550786593184
1560, 230.0,  6.5, 2.5,  10,  18,    25,  40,   10,     25, 16.129480855134574,        78.19862121577134,   128.9404276507236 ,          0.2336118317737516, 32.69598235545133 ,      11.91987119289467  ,   128.92347144330563,          0.2467630972597441,  90.59886733769952
1570, 230.8,  6.5, 2.5,  10,  18,    25,  40,   10,     25, 16.033732659199696,        78.70240378640804,   128.56873145370966,          0.5222967581636275, 32.69181848877441 ,      11.932561818594207 ,   128.79608293588183,          0.3456211261877697,  91.50288348935364
1580, 231.7,  6.6, 2.4,  10,  18,    25,  40,   10,     25, 15.974412384461786,        79.01543594006964,   129.0821478896802 ,          0.1237608730160761, 32.660276982101784,      12.028743355539854 ,   127.8774589379173 ,          1.0614062955166443,  92.22934646414222
1590, 232.5,  6.6, 2.4,  10,  18,    25,  40,   10,     25, 15.880801730658565,        79.51085080285034,   128.71482893813692,          0.4087281302325963, 32.65594911130312 ,      12.041947420774738 ,   127.75745804475427,          1.1552880045273848,  93.11681435838506
1610, 234.2,  6.7, 2.3,  10,  18,    25,  40,   10,     25, 15.731771943219291,        80.30320007010212,   128.9352380013478 ,          0.2376367498753521, 32.617049827072854,      12.16070058371568  ,   126.73810965264327,          1.956316333135727 ,  94.65785373682888
1620, 235.0,  6.8, 2.3,  10,  18,    25,  40,   10,     25, 15.641325067721093,        80.7862748339985 ,   128.57528423303643,          0.5172002094017332, 32.612545759502005,      12.174459359484448 ,   126.62655045378966,          2.044369690273978 ,  95.52230409315868
1630, 235.8,  6.8, 2.2,  10,  18,    25,  40,   10,     25, 15.586502653407823,        81.07989147116393,   129.23760034259607,          0.0034042589032877, 32.57471979971928 ,      12.290078465980546 ,   125.73743236944598,          2.748902213788093 ,  96.12227640983586
1640, 236.7,  6.8, 2.2,  10,  18,    25,  40,   10,     25, 15.49800617297779 ,        81.55515677747024,   128.8813018855245 ,          0.2794773752239256, 32.57002324451901 ,      12.304442785657807 ,   125.63265934527892,          2.832247555714426 ,  96.9713244940664
1650, 237.5,  6.9, 2.2,  10,  18,    25,  40,   10,     25, 15.410556428869826,        82.02638209501094,   128.52818805365484,          0.5538359200766585, 32.56532804340258 ,      12.318804907072032 ,   125.52908775347484,          2.9147045524395643,  97.8137274745992
1660, 238.3,  6.9, 2.2,  10,  18,    25,  40,   10,     25, 15.324134764740764,        82.49361977100362,   128.17821128771894,          0.8264997584762717, 32.560634195784495,      12.33316483072776  ,   125.42669696616952,          2.996287395570492 ,  98.64957175577815
