wp  , wf    , P    , volume, n1 , Pd1, Np1, Helix1, Pd2, Np2, Helix2, s1_bending, s1_contact, s2_bending, s2_contact, s3_bending, s3_contact, _source_file
2120, 276.67,  8.83, 295.88, 2.9,  10,  18,     25,   6,  12,     20,      12.96,     113.84,      10.65,     126.34,           ,           , wp_2100-2200.csv
2130, 277.5 ,  8.88, 320.0 , 3.7,  10,  16,     25,   8,  22,     20,      14.56,     124.84,      13.81,     115.65,           ,           , wp_2100-2200.csv
2140, 278.33,  8.92, 294.19, 3.3,   8,  12,     20,  10,  22,     15,       8.95,     114.16,      17.67,     127.56,           ,           , wp_2100-2200.csv
2150, 279.17,  8.96, 278.73, 3.1,  10,  16,     25,   8,  18,     20,      14.66,     127.9 ,      16.79,     128.26,           ,           , wp_2100-2200.csv
2160, 280.0 ,  9.0 , 311.41, 3.8,  10,  16,     25,  10,  30,     20,      14.56,     124.51,      19.08,     118.61,           ,           , wp_2100-2200.csv
2170, 280.83,  9.04, 310.89, 3.6,  10,  16,     20,   8,  20,     20,      12.76,     115.52,      15.11,     125.82,           ,           , wp_2100-2200.csv
2180, 281.67,  9.08, 314.18, 3.0,  10,  18,     20,   8,  16,     15,      11.33,     104.43,      14.55,     125.22,           ,           , wp_2100-2200.csv
2200, 283.33,  9.17, 304.92, 3.3,  10,  16,     25,  10,  24,     15,      14.65,     126.93,      15.82,     116.05,           ,           , wp_2200-2300.csv
2210, 284.17,  9.21, 292.73, 3.8,   8,  12,     25,  10,  28,     20,      11.02,     126.49,      20.79,     127.5 ,           ,           , wp_2200-2300.csv
2220, 285.0 ,  9.25, 294.24, 3.0,  10,  16,     20,   8,  16,     15,      12.87,     118.62,      14.56,     125.18,           ,           , wp_2200-2300.csv
2230, 285.83,  9.29, 305.19, 3.4,   8,  12,     25,  10,  24,     15,      11.09,     128.43,      16.3 ,     118.22,           ,           , wp_2200-2300.csv
2240, 286.67,  9.33, 308.35, 2.6,  10,  16,     20,   6,  10,     15,      12.98,     121.37,       9.44,     128.1 ,           ,           , wp_2200-2300.csv
2250, 287.5 ,  9.38, 328.36, 2.9,  10,  20,     25,  10,  24,     20,      10.6 ,     102.14,      19.25,     126.7 ,           ,           , wp_2200-2300.csv
2260, 288.33,  9.42, 319.76, 2.8,  10,  18,     25,   6,  12,     20,      13.04,     114.81,      10.31,     123.48,           ,           , wp_2200-2300.csv
2270, 289.17,  9.46, 432.62, 3.1,   8,  16,     20,   8,  18,     15,       6.57,      84.47,      13.19,     112.21,           ,           , wp_2200-2300.csv
2280, 290.0 ,  9.5 , 321.0 , 3.3,  10,  16,     20,   8,  18,     15,      12.84,     117.16,      14.04,     116.7 ,           ,           , wp_2200-2300.csv
2290, 290.83,  9.54, 316.91, 3.4,  10,  16,     25,   6,  14,     20,      14.67,     126.67,      10.53,     117.64,           ,           , wp_2200-2300.csv
2300, 291.67,  9.58, 307.08, 3.1,   8,  12,     20,   8,  16,     15,       9.02,     115.62,      15.07,     127.71,           ,           , wp_2300-2400.csv
2310, 292.5 ,  9.62, 304.77, 3.4,   8,  12,     25,  10,  26,     20,      11.12,     128.65,      20.45,     128.4 ,           ,           , wp_2300-2400.csv
2320, 293.33,  9.67, 337.66, 3.6,   8,  12,     20,   8,  18,     15,       8.97,     113.23,      15.33,     123.31,           ,           , wp_2300-2400.csv
2330, 294.17,  9.71, 336.47, 3.0,  10,  20,     25,  10,  22,     15,      10.62,     101.82,      16.15,     120.03,           ,           , wp_2300-2400.csv
2340, 295.0 ,  9.75, 325.14, 3.9,  10,  16,     25,  10,  24,     15,      14.63,     124.62,      18.71,     128.94,           ,           , wp_2300-2400.csv
2350, 295.83,  9.79, 306.99, 3.3,  10,  16,     25,  10,  26,     20,      14.72,     127.35,      19.87,     125.99,           ,           , wp_2300-2400.csv
2360, 296.67,  9.83, 334.46, 3.1,   8,  14,     25,   6,  14,     25,       9.47,     110.49,      12.3 ,     127.06,           ,           , wp_2300-2400.csv
2370, 297.5 ,  9.88, 312.07, 3.6,  10,  16,     25,  10,  28,     20,      14.68,     125.94,      19.78,     123.03,           ,           , wp_2300-2400.csv
2380, 298.33,  9.92, 323.07, 3.2,   8,  12,     20,  10,  22,     15,       9.03,     115.27,      17.22,     124.9 ,           ,           , wp_2300-2400.csv
2390, 299.17,  9.96, 300.79, 3.5,  10,  16,     25,   8,  20,     20,      14.71,     126.45,      14.74,     123.35,           ,           , wp_2300-2400.csv
2400, 300.0 , 10.0 , 320.36, 3.7,  10,  16,     25,  10,  30,     25,      14.68,     125.58,      22.4 ,     126.84,           ,           , wp_2400-2500.csv
2410, 300.83, 10.04, 325.39, 3.8,   8,  12,     25,   8,  18,     15,      11.09,     127.03,      16.2 ,     127.59,           ,           , wp_2400-2500.csv
2420, 301.67, 10.08, 334.42, 3.1,  10,  20,     25,   8,  18,     20,      10.64,     101.55,      16.86,     128.04,           ,           , wp_2400-2500.csv
2430, 302.5 , 10.12, 330.77, 3.7,  10,  16,     25,   8,  22,     20,      14.69,     125.66,      13.88,     115.33,           ,           , wp_2400-2500.csv
2440, 303.33, 10.17, 329.83, 4.1,  10,  16,     25,  10,  32,     25,      14.64,     124.14,      23.06,     126.56,           ,           , wp_2400-2500.csv
2450, 304.17, 10.21, 331.02, 3.2,  10,  16,     25,   8,  18,     15,      14.78,     128.16,      13.65,     114.34,           ,           , wp_2400-2500.csv
2460, 305.0 , 10.25, 314.46, 3.1,  10,  16,     20,   8,  18,     20,      12.94,     118.66,      16.87,     128.02,           ,           , wp_2400-2500.csv
2470, 305.83, 10.29, 331.82, 3.0,   8,  12,     20,   6,  12,     20,       9.08,     116.61,      11.08,     128.74,           ,           , wp_2400-2500.csv
2480, 306.67, 10.33, 322.04, 3.0,  10,  18,     20,   6,  12,     20,      11.44,     105.12,      11.08,     128.73,           ,           , wp_2400-2500.csv
2500, 308.33, 10.42, 339.57, 3.6,  10,  18,     25,  10,  28,     20,      13.02,     111.44,      19.83,     122.94,           ,           , wp_2500-2600.csv
2510, 309.17, 10.46, 326.99, 3.6,  10,  16,     25,   8,  18,     15,      14.74,     126.31,      15.38,     123.13,           ,           , wp_2500-2600.csv
2520, 310.0 , 10.5 , 314.87, 3.4,  10,  16,     25,  10,  24,     15,      14.78,     127.28,      16.39,     118.0 ,           ,           , wp_2500-2600.csv
